Family;Size;Locomotion;Attached;Lifehabit;Diet;LarvalMode;Status;LatitudinalRangePlio;bathymetry;Latmidpoint
1.00;30.00;1.00;2.00;1.00;1.00;1.00;0.00;0.00;2.00;-15.00
1.00;45.00;1.00;2.00;1.00;1.00;1.00;1.00;0.00;2.00;-32.70
1.00;50.00;1.00;2.00;1.00;1.00;1.00;0.00;11.48;2.00;-21.31
1.00;40.00;1.00;2.00;1.00;1.00;1.00;0.00;0.00;2.00;-14.98
1.00;70.00;1.00;2.00;1.00;1.00;1.00;0.00;12.13;2.00;-20.99
1.00;78.00;1.00;2.00;1.00;1.00;1.00;1.00;18.00;2.00;-25.00
2.00;56.70;1.00;2.00;1.00;1.00;1.00;0.00;0.00;3.00;-45.00
3.00;20.50;1.00;2.00;1.00;2.00;3.00;1.00;0.00;2.00;-16.00
4.00;20.00;1.00;2.00;1.00;1.00;2.00;0.00;0.00;3.00;-44.00
5.00;85.00;1.00;2.00;1.00;1.00;2.00;0.00;0.00;2.00;-44.00
6.00;63.00;1.00;2.00;1.00;1.00;1.00;1.00;0.00;3.00;-23.11
6.00;53.00;1.00;2.00;1.00;1.00;1.00;1.00;0.00;3.00;-23.11
7.00;28.00;1.00;2.00;1.00;1.00;2.00;0.00;3.90;2.00;-25.08
8.00;2.00;1.00;2.00;1.00;2.00;2.00;0.00;0.00;2.00;-23.11
9.00;40.00;1.00;2.00;1.00;2.00;2.00;1.00;0.36;1.00;-16.00
3.00;28.00;1.00;2.00;1.00;2.00;3.00;1.00;11.17;3.00;-21.47
3.00;52.00;1.00;2.00;1.00;2.00;3.00;1.00;11.00;2.00;-28.67
3.00;33.00;1.00;2.00;1.00;2.00;3.00;1.00;0.00;1.00;-27.05
3.00;30.00;1.00;2.00;1.00;2.00;3.00;0.00;11.39;2.00;-21.00
1.00;85.00;2.00;2.00;1.00;1.00;3.00;0.00;5.70;3.00;-29.88
1.00;43.00;2.00;2.00;1.00;1.00;3.00;0.00;21.69;3.00;-33.95
1.00;90.00;2.00;2.00;1.00;1.00;3.00;0.00;0.00;3.00;-14.98
1.00;130.00;2.00;2.00;1.00;1.00;3.00;1.00;0.00;3.00;-15.88
1.00;90.00;2.00;2.00;1.00;1.00;3.00;1.00;27.70;3.00;-29.60
10.00;10.00;1.00;2.00;1.00;1.00;2.00;0.00;0.00;2.00;-45.00
